402348,500953,10/30/2015,6,0,OnCurb,Alive,Good,Quercus rubra,northern red oak,None,None,Damage,NYC Parks Staff,TrunkOther,No,No,No,No,No,Yes,No,No,No,778 BROOK AVENUE,10451,Bronx,201,2,Bronx,17,79,32,BX34,Melrose South-Mott Haven North,2007100,New York,40.82060422,-73.91158656,1008720.999,238257.763
579930,324789,06/09/2016,7,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,156-010 BAISLEY BOULEVARD,11434,Jamaica,412,4,Queens,28,32,10,QN02,Springfield Gardens North,4029400,New York,40.6752299,-73.78372689,1044240.608,185354.9266
565037,328482,05/24/2016,22,0,OnCurb,Alive,Good,Acer platanoides,Norway maple,None,None,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,190-031 111 ROAD,11412,Saint Albans,412,4,Queens,27,33,14,QN08,St. Albans,4052400,New York,40.70146024,-73.76374958,1049756.196,194925.685
273918,311553,10/01/2015,3,0,OnCurb,Alive,Good,Amelanchier,serviceberry,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,148-039 KALMIA AVENUE,11355,Flushing,407,4,Queens,20,40,16,QN52,East Flushing,4120100,New York,40.75284741,-73.81119076,1036561.642,213615.6676
674209,319256,08/22/2016,15,0,OnCurb,Alive,Poor,Acer platanoides,Norway maple,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,103-028 113 STREET,11419,South Richmond Hill,410,4,Queens,28,38,10,QN55,South Ozone Park,4009800,New York,40.68574909,-73.82971654,1031476.402,189159.2149
401897,508373,10/30/2015,11,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,2241 CROSS BRONX EXPRESSWAY SR NORTH,10462,Bronx,209,2,Bronx,18,87,34,BX59,Westchester-Unionport,2009200,New York,40.82985031,-73.84749032,1026455.622,241650.8429
504381,508482,12/08/2015,3,0,OnCurb,Alive,Good,Syringa pekinensis,Chinese tree lilac,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,2118 GLEASON AVENUE,10462,Bronx,209,2,Bronx,18,87,34,BX59,Westchester-Unionport,2009200,New York,40.83158927,-73.85312507,1024895.199,242281.7442
331490,221144,10/15/2015,9,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,884 GREENE AVENUE,11221,Brooklyn,303,3,Brooklyn,36,56,25,BK35,Stuyvesant Heights,3029100,New York,40.69047314,-73.93260568,1002939.821,190841.6134
287300,110840,10/06/2015,0,15,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,630 WEST 170 STREET,10032,New York,112,1,Manhattan,10,71,31,MN36,Washington Heights South,1025300,New York,40.84287791,-73.94053688,1000702.646,246366.1241
426647,215449,11/04/2015,14,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,9102 AVENUE M,11236,Brooklyn,318,3,Brooklyn,46,59,19,BK50,Canarsie,3100800,New York,40.63423667,-73.89766815,1012652.645,170362.4871
290664,509277,10/07/2015,2,0,OnCurb,Alive,Good,Ulmus pumila,Siberian elm,1or2,Helpful,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,246 CALHOUN AVENUE,10465,Bronx,210,2,Bronx,13,82,34,BX52,Schuylerville-Throgs Neck-Edgewater Park,2013200,New York,40.81666725,-73.8180466,1034613.862,236863.3426
220423,339765,09/13/2015,7,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,1or2,None,NoDamage,Volunteer,BranchLights,No,No,No,No,No,No,Yes,No,No,245 BEACH 79 STREET,11693,Far Rockaway,414,4,Queens,31,31,10,QN12,Hammels-Arverne-Edgemere,4094202,New York,40.58946176,-73.80541351,1038294.519,154093.2565
37619,307268,06/28/2015,2,0,OnCurb,Alive,Good,Quercus acutissima,sawtooth oak,1or2,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,152-072 MELBOURNE AVENUE,11367,Flushing,408,4,Queens,24,25,16,QN37,Kew Gardens Hills,4080900,New York,40.73386399,-73.81530604,1035436.044,206696.9869
321116,334732,10/13/2015,18,0,OnCurb,Alive,Poor,Acer saccharinum,silver maple,None,None,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,92-063 WINCHESTER BOULEVARD,11428,Queens Village,413,4,Queens,23,33,11,QN34,Queens Village,4056200,New York,40.72397197,-73.73583241,1057472.159,203149.4622
203554,301949,09/04/2015,13,0,OnCurb,Alive,Fair,Acer rubrum,red maple,1or2,None,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,22-026 38 STREET,11105,Astoria,401,4,Queens,22,36,13,QN72,Steinway,4011700,New York,40.77281346,-73.90754825,1009857.095,220847.0915
35310,103465,06/25/2015,3,0,OnCurb,Alive,Good,Quercus bicolor,swamp white oak,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,254 WEST 18 STREET,10011,New York,104,1,Manhattan,3,75,27,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,1008100,New York,40.74203747,-74.00035329,984152.1025,209620.884
139308,109479,08/12/2015,9,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,300 WEST 137 STREET,10030,New York,110,1,Manhattan,9,70,30,MN03,Central Harlem North-Polo Grounds,1022102,New York,40.81786893,-73.94591162,999221.1548,237253.4714
242029,314348,09/20/2015,6,0,OnCurb,Dead,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,119-001 22 AVENUE,11356,College Point,407,4,Queens,19,27,11,QN23,College Point,4092900,New York,40.78018477,-73.84884128,1026112.981,223555.3154
706180,318118,09/09/2016,2,0,OnCurb,Alive,Good,Prunus,cherry,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,107-044 76 STREET,11417,Ozone Park,410,4,Queens,32,23,12,QN56,Ozone Park,4004401,New York,40.67543191,-73.86054729,1022931.795,185385.2582
191062,108023,08/31/2015,7,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,Helpful,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1700 YORK AVENUE,10128,New York,108,1,Manhattan,5,76,28,MN32,Yorkville,1015200,New York,40.77856746,-73.94505741,999466.5709,222934.7281
330049,226932,10/15/2015,15,0,OnCurb,Alive,Good,Liquidambar styraciflua,sweetgum,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,361 MAPLE STREET,11225,Brooklyn,309,3,Brooklyn,40,43,20,BK60,Prospect Lefferts Gardens-Wingate,3080400,New York,40.66099366,-73.94862948,998502.3934,180098.3833
614882,203290,07/05/2016,4,0,OnCurb,Alive,Good,Quercus bicolor,swamp white oak,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,301 MARINE AVENUE,11209,Brooklyn,310,3,Brooklyn,43,46,22,BK31,Bay Ridge,3005601,New York,40.61487173,-74.03422293,974748.521,163292.5908
225636,514954,09/15/2015,14,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,4101 GRACE AVENUE,10466,Bronx,212,2,Bronx,12,83,36,BX62,Woodlawn-Wakefield,2042800,New York,40.89259304,-73.84553147,1026957.405,264511.3664
682845,320469,08/26/2016,3,0,OnCurb,Alive,Good,Amelanchier,serviceberry,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,50-015 FRANCIS LEWIS BOULEVARD,11364,Oakland Gardens,411,4,Queens,20,25,11,QN46,Bayside-Bayside Hills,4145102,New York,40.74994941,-73.77872687,1045558.762,212580.8879
98944,506908,07/28/2015,5,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,1or2,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,203 WEST 233 STREET,10463,Bronx,208,2,Bronx,11,81,33,BX29,Spuyten Duyvil-Kingsbridge,2028700,New York,40.88090397,-73.90371288,1010876.118,260229.5419
652491,331721,08/03/2016,7,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,168-001 144 DRIVE,11434,Jamaica,413,4,Queens,31,31,10,QN03,Springfield Gardens South-Brookville,4030600,New York,40.66540433,-73.77501258,1046667.002,181781.2917
169137,348684,08/23/2015,7,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,63-019 CROMWELL CRESCENT,11374,Rego Park,406,4,Queens,29,28,15,QN18,Rego Park,4069702,New York,40.72309733,-73.86298703,1022227.891,202750.0978
559451,233032,05/15/2016,3,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,1or2,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,21 EAST 96 STREET,11212,Brooklyn,317,3,Brooklyn,41,55,20,BK81,Brownsville,3089200,New York,40.66480712,-73.92552613,1004911.076,181492.3365
81506,212643,07/20/2015,2,0,OnCurb,Alive,Good,Prunus virginiana,'Schubert' chokecherry,1or2,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,4223 AVENUE R,11234,Brooklyn,318,3,Brooklyn,46,59,19,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,3065200,New York,40.61620587,-73.93016526,1003638.171,163784.5288
170470,340582,08/24/2015,2,0,OnCurb,Dead,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,128 BEACH 26 STREET,11691,Far Rockaway,414,4,Queens,31,23,10,QN15,Far Rockaway-Bayswater,4099802,New York,40.59295701,-73.7588901,1051212.411,155398.7962
115302,331135,08/03/2015,24,0,OnCurb,Alive,Good,Acer rubrum,red maple,None,None,NoDamage,Volunteer,"RootOther,BranchLights",No,No,Yes,No,No,No,Yes,No,No,144-018 230 PLACE,11413,Springfield Gardens,413,4,Queens,31,31,10,QN03,Springfield Gardens South-Brookville,4068000,New York,40.66224075,-73.74828046,1054086.437,180648.8947
10169,314027,06/04/2015,19,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,NoDamage,TreesCount Staff,RootOther,No,No,Yes,No,No,No,No,No,No,204-011 23 AVENUE,11360,Bayside,407,4,Queens,19,26,11,QN47,Ft. Totten-Bay Terrace-Clearview,4099701,New York,40.77740233,-73.78900201,1042687.715,222575.8384
30366,328553,06/22/2015,0,24,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,171-036 104 AVENUE,11433,Jamaica,412,4,Queens,27,29,14,QN01,South Jamaica,4044000,New York,40.70277425,-73.78549954,1043724.331,195388.8986
600148,348409,06/23/2016,16,0,OnCurb,Alive,Good,Acer,maple,None,None,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,69-026 DARTMOUTH STREET,11375,Forest Hills,406,4,Queens,29,28,15,QN17,Forest Hills,4072300,New York,40.71898935,-73.84968698,1025917.028,201259.4807
386973,305852,10/27/2015,23,0,OnCurb,Alive,Good,Acer saccharinum,silver maple,None,None,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,136-014 72 AVENUE,11367,Flushing,408,4,Queens,24,27,15,QN37,Kew Gardens Hills,4077902,New York,40.72522398,-73.82650264,1032339.258,203542.8226
180408,231116,08/27/2015,15,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1421 GLENWOOD ROAD,11230,Brooklyn,314,3,Brooklyn,45,44,17,BK42,Flatbush,3046000,New York,40.6323892,-73.96298574,994523.7524,169674.9865
383496,401133,10/27/2015,6,0,OnCurb,Alive,Good,Liquidambar styraciflua,sweetgum,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,31 ROFF STREET,10304,Staten Island,501,5,Staten Island,49,61,23,SI37,Stapleton-Rosebank,5002900,New York,40.61704423,-74.08542171,960534.7298,164093.7992
4954,503256,05/28/2015,14,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,Damage,NYC Parks Staff,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No,1072 NELSON AVENUE,10452,Bronx,204,2,Bronx,8,84,29,BX26,Highbridge,2019300,New York,40.83439927,-73.92755206,1004297.923,243279.7468
598423,316030,06/22/2016,27,0,OnCurb,Alive,Good,Tilia americana,American linden,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,158-026 POWELLS COVE BOULEVARD,11357,Whitestone,407,4,Queens,19,26,11,QN49,Whitestone,4099100,New York,40.79429097,-73.80229696,1038991.683,228720.3405
297780,401817,10/08/2015,14,0,OnCurb,Alive,Good,Robinia pseudoacacia,black locust,None,None,NoDamage,NYC Parks Staff,BranchLights,No,No,No,No,No,No,Yes,No,No,743 BEMENT AVENUE,10310,Staten Island,501,5,Staten Island,49,61,24,SI35,New Brighton-Silver Lake,5012100,New York,40.62304603,-74.11038461,953607.1413,166288.1576
364647,208532,10/22/2015,25,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,2677 BROWN STREET,11235,Brooklyn,315,3,Brooklyn,48,41,22,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,3059800,New York,40.58800348,-73.93750219,1001608.555,153508.135
645336,330100,07/29/2016,13,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,green ash,1or2,None,Damage,Volunteer,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No,89-035 199 STREET,11423,Hollis,412,4,Queens,23,29,14,QN07,Hollis,4048400,New York,40.71694166,-73.76177998,1050286.978,200567.49
357340,343545,10/21/2015,18,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,green ash,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,104-033 48 AVENUE,11368,Corona,404,4,Queens,21,39,13,QN25,Corona,4041500,New York,40.74546068,-73.85800812,1023594.761,210899.9542
366494,411382,10/23/2015,8,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,1or2,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,1101 RENSSELAER AVENUE,10309,Staten Island,503,5,Staten Island,51,62,24,SI32,Rossville-Woodrow,5020803,New York,40.53680038,-74.21176703,925387.3805,134918.555
350522,405085,10/20/2015,2,0,OnCurb,Alive,Good,Metasequoia glyptostroboides,dawn redwood,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,252 WATCHOGUE ROAD,10314,Staten Island,501,5,Staten Island,50,63,24,SI07,Westerleigh,5018901,New York,40.61582112,-74.13779541,945993.7455,163666.7131
308884,107104,10/10/2015,6,0,OffsetFromCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,Volunteer,"Stones,BranchOther",Yes,No,No,No,No,No,No,No,Yes,442 EAST 59 STREET,10022,New York,108,1,Manhattan,5,73,28,MN31,Lenox Hill-Roosevelt Island,1010602,New York,40.75919562,-73.95950158,995469.4634,215874.7412
661185,320890,08/11/2016,26,0,OnCurb,Alive,Good,Quercus rubra,northern red oak,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,48-058 210 STREET,11364,Oakland Gardens,411,4,Queens,23,25,11,QN46,Bayside-Bayside Hills,4143500,New York,40.75323636,-73.77030617,1047888.763,213784.4317
696491,306533,09/04/2016,9,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,68-001 150 STREET,11367,Flushing,408,4,Queens,24,27,16,QN37,Kew Gardens Hills,4080900,New York,40.73263682,-73.81972539,1034212.188,206247.3382
688888,323130,08/30/2016,16,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,219-044 PECK AVENUE,11427,Queens Village,411,4,Queens,23,24,11,QN42,Oakland Gardens,4129102,New York,40.73230511,-73.74959871,1053647.738,206174.2659
599918,213045,06/23/2016,14,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,Volunteer,BranchOther,No,No,No,No,No,No,No,No,Yes,2129 NEW YORK AVENUE,11210,Brooklyn,318,3,Brooklyn,45,41,17,BK58,Flatlands,3074400,New York,40.62057188,-73.9427234,1000150.625,165372.6509
